"Step","cgan - discriminator loss","cgan - generator loss"
"0","0.32248470187187195","2.250206470489502"
"1","0.3145395815372467","2.47611141204834"
"2","0.355656236410141","2.1000213623046875"
"3","0.415073424577713","1.7020843029022217"
"4","0.4510933756828308","1.5164525508880615"
"5","0.5046499967575073","1.2956219911575317"
"6","0.5435206890106201","1.151405930519104"
"7","0.5714942812919617","1.054354190826416"
"8","0.5941869616508484","0.9820790886878967"
"9","0.604873776435852","0.9516741037368774"
"10","0.6118408441543579","0.9298429489135742"
"11","0.6155571341514587","0.9188938140869141"
"12","0.6242726445198059","0.8936270475387573"
"13","0.6293602585792542","0.8791048526763916"
"14","0.630719006061554","0.8735222220420837"
"15","0.6343303918838501","0.8640331029891968"
"16","0.6367387771606445","0.8574258685112"
"17","0.635295033454895","0.8649560213088989"
"18","0.6389757394790649","0.8512728214263916"
"19","0.6370496153831482","0.8581840395927429"