"Step","dcgan - generator loss","dcgan - discriminator loss"
"1","3.7204391956329346","0.24232745170593262"
"2","4.090046405792236","0.21954551339149475"
"3","3.7127015590667725","0.2925616502761841"
"4","3.5616848468780518","0.31387341022491455"
"5","3.3510239124298096","0.3806658983230591"
"6","3.0872178077697754","0.40833988785743713"
"7","3.054211139678955","0.4171949625015259"
"8","3.0264744758605957","0.42188096046447754"
"9","3.1349596977233887","0.3992854654788971"
"10","3.182931661605835","0.40880972146987915"
"11","3.046773672103882","0.43200185894966125"
"12","3.3794727325439453","0.35004422068595886"
"13","3.6460354328155518","0.3180278241634369"
"14","3.548191547393799","0.3120502531528473"
"15","3.869417667388916","0.2918020486831665"
"16","3.9064488410949707","0.3064691722393036"
"17","3.7490174770355225","0.3048411011695862"
"18","3.7793335914611816","0.31042006611824036"
"19","3.8182950019836426","0.27580657601356506"
"20","4.176546573638916","0.26172369718551636"