step,generator,discriminator
1,2.1297554969787598,0.3253941833972931
2,2.318815231323242,0.34228241443634033
3,2.2502355575561523,0.3342892825603485
4,1.9123899936676025,0.38299572467803955
5,1.6890168190002441,0.41939577460289
6,1.437453269958496,0.47131145000457764
7,1.2823681831359863,0.5101299285888672
8,1.1982828378677368,0.532405436038971
9,1.1050536632537842,0.5590328574180603
10,1.0262826681137085,0.5811884999275208
11,0.9863468408584595,0.5936180949211121
12,0.956726610660553,0.6044321656227112
13,0.9319302439689636,0.61236172914505
14,0.9182025194168091,0.61650550365448
15,0.9090420603752136,0.6195615530014038
16,0.8951509594917297,0.6246932148933411
17,0.8858053088188171,0.6260592937469482
18,0.8746744394302368,0.6308570504188538
19,0.8692660331726074,0.6320602893829346
20,0.8575701117515564,0.6358697414398193